Notebook,Vessel,Temperature,Treatment,Plate,Row,Column,Acid,Acid SMILES,Acid Conc (M),Amine,Amine SMILES,Amine Conc (M),Product,Product SMILES,Catalyst 1,Catalyst1 SMILES,Catalyst1 Conc (M),Ligand 1,Ligand1 SMILES,Ligand1 Conc (M),Catalyst 2,Catalyst2 SMILES,Catalyst2 Conc (M),Base/Acid,Base/Acid SMILES,Base/Acid Conc (M),Reductant/Oxidant,Reductant/Oxidant SMILES,Reductant/Oxidant Conc (M),Additive,Additive SMILES,Additive Conc (M),Solvent1,Solvent1 percentage,Solvent2,Solvent2 percentage,Analytical Method,number,Output Value
zz-19,96,25,30 W blue LED,zz191021,C,2,BOC-L-PROLINE,CC(C)(C)OC(=O)N1CCCC1C(O)=O,0.1,"1-benzyl-2,4,6-triphenylpyridin-1-ium tetrafluoroborate",C1(C[N+]2=C(C3=CC=CC=C3)C=C(C4=CC=CC=C4)C=C2C5=CC=CC=C5)=CC=CC=C1,0.1,tert-butyl 2-benzylpyrrolidine-1-carboxylate,CC(OC(N1CCCC1CC2=CC=CC=C2)=O)(C)C,NICKEL(II) CHLORIDE ETHYLENE GLYCOL DIMETHYL ETHER COMPLEX,COCCOC.Cl[Ni]Cl,0.02,"4,4'-DI-TERT-BUTYL-2,2'-DIPYRIDYL",CC(C)(C)C1=CC=NC(C2=CC(C(C)(C)C)=CC=N2)=C1,0.03,,,,CESIUM CARBONATE,[Cs+].[Cs+].[O-]C([O-])=O,0.2,,,,,,,DMF,,,,UPLC-MS,11,0
zz-19,96,25,30 W blue LED,zz191021,D,2,BOC-L-PROLINE,CC(C)(C)OC(=O)N1CCCC1C(O)=O,0.1,"1-benzyl-2,4,6-triphenylpyridin-1-ium tetrafluoroborate",C1(C[N+]2=C(C3=CC=CC=C3)C=C(C4=CC=CC=C4)C=C2C5=CC=CC=C5)=CC=CC=C1,0.1,tert-butyl 2-benzylpyrrolidine-1-carboxylate,CC(OC(N1CCCC1CC2=CC=CC=C2)=O)(C)C,NICKEL(II) CHLORIDE ETHYLENE GLYCOL DIMETHYL ETHER COMPLEX,COCCOC.Cl[Ni]Cl,0.02,"4,4'-DI-TERT-BUTYL-2,2'-DIPYRIDYL",CC(C)(C)C1=CC=NC(C2=CC(C(C)(C)C)=CC=N2)=C1,0.03,,,,CESIUM CARBONATE,[Cs+].[Cs+].[O-]C([O-])=O,0.2,,,,,,,DMF,,,,UPLC-MS,12,0
zz-19,96,25,30 W blue LED,zz191021,E,2,BOC-L-PROLINE,CC(C)(C)OC(=O)N1CCCC1C(O)=O,0.1,BENZYLTRIETHYLAMMONIUM CHLORIDE,[Cl-].CC[N+](CC)(CC)Cc1ccccc1,0.1,tert-butyl 2-benzylpyrrolidine-1-carboxylate,CC(OC(N1CCCC1CC2=CC=CC=C2)=O)(C)C,NICKEL(II) BROMIDE ETHYLENE GLYCOL DIMETHYL ETHER COMPLEX,COCCOC.[Ni+2].[Br-].[Br-],0.02,"4,4'-DI-TERT-BUTYL-2,2'-DIPYRIDYL",CC(C)(C)C1=CC=NC(C2=CC(C(C)(C)C)=CC=N2)=C1,0.03,,,,CESIUM CARBONATE,[Cs+].[Cs+].[O-]C([O-])=O,0.2,,,,,,,DMF,,,,UPLC-MS,13,0
zz-19,96,25,30 W blue LED,zz191021,F,2,BOC-L-PROLINE,CC(C)(C)OC(=O)N1CCCC1C(O)=O,0.1,BENZYLTRIETHYLAMMONIUM CHLORIDE,[Cl-].CC[N+](CC)(CC)Cc1ccccc1,0.1,tert-butyl 2-benzylpyrrolidine-1-carboxylate,CC(OC(N1CCCC1CC2=CC=CC=C2)=O)(C)C,NICKEL(II) BROMIDE ETHYLENE GLYCOL DIMETHYL ETHER COMPLEX,COCCOC.[Ni+2].[Br-].[Br-],0.02,"4,4'-DI-TERT-BUTYL-2,2'-DIPYRIDYL",CC(C)(C)C1=CC=NC(C2=CC(C(C)(C)C)=CC=N2)=C1,0.03,,,,CESIUM CARBONATE,[Cs+].[Cs+].[O-]C([O-])=O,0.2,,,,,,,DMF,,,,UPLC-MS,14,0
zz-19,96,25,30 W blue LED,zz191021,G,2,BOC-L-PROLINE,CC(C)(C)OC(=O)N1CCCC1C(O)=O,0.1,BENZYLTRIETHYLAMMONIUM CHLORIDE,[Cl-].CC[N+](CC)(CC)Cc1ccccc1,0.1,tert-butyl 2-benzylpyrrolidine-1-carboxylate,CC(OC(N1CCCC1CC2=CC=CC=C2)=O)(C)C,"BIS(1,5-CYCLOOCTADIENE)NICKEL(0)",[Ni].C\1C\C=C/CC\C=C1.C\2C\C=C/CC\C=C2,0.02,"4,4'-DI-TERT-BUTYL-2,2'-DIPYRIDYL",CC(C)(C)C1=CC=NC(C2=CC(C(C)(C)C)=CC=N2)=C1,0.03,,,,CESIUM CARBONATE,[Cs+].[Cs+].[O-]C([O-])=O,0.2,,,,,,,DMF,,,,UPLC-MS,15,0
zz-19,96,25,30 W blue LED,zz191021,H,2,BOC-L-PROLINE,CC(C)(C)OC(=O)N1CCCC1C(O)=O,0.1,BENZYLTRIETHYLAMMONIUM CHLORIDE,[Cl-].CC[N+](CC)(CC)Cc1ccccc1,0.1,tert-butyl 2-benzylpyrrolidine-1-carboxylate,CC(OC(N1CCCC1CC2=CC=CC=C2)=O)(C)C,"BIS(1,5-CYCLOOCTADIENE)NICKEL(0)",[Ni].C\1C\C=C/CC\C=C1.C\2C\C=C/CC\C=C2,0.02,"4,4'-DI-TERT-BUTYL-2,2'-DIPYRIDYL",CC(C)(C)C1=CC=NC(C2=CC(C(C)(C)C)=CC=N2)=C1,0.03,,,,CESIUM CARBONATE,[Cs+].[Cs+].[O-]C([O-])=O,0.2,,,,,,,DMF,,,,UPLC-MS,16,0
zz-19,96,25,30 W blue LED,zz191021,A,3,BOC-L-PROLINE,CC(C)(C)OC(=O)N1CCCC1C(O)=O,0.1,"1-benzyl-2,4,6-triphenylpyridin-1-ium tetrafluoroborate",C1(C[N+]2=C(C3=CC=CC=C3)C=C(C4=CC=CC=C4)C=C2C5=CC=CC=C5)=CC=CC=C1,0.1,tert-butyl 2-benzylpyrrolidine-1-carboxylate,CC(OC(N1CCCC1CC2=CC=CC=C2)=O)(C)C,COPPER(I) BROMIDE,[Cu+].[Br-],0.02,NEOCUPROINE,Cc1ccc2ccc3ccc(C)nc3c2n1,0.03,(IR[DF(CF3)PPY]2(DTBPY))PF6,CC(C)(C1=CC(C2=CC(C(C)(C)C)=CC=N2)=NC=C1)C.F[P-](F)(F)(F)(F)F.FC3=CC(F)=C(C4=NC=C(C=C4)C(F)(F)F)[C-]=C3.FC(F)(F)C5=CC=C(C6=[C-]C=C(F)C=C6F)N=C5.[Ir+3],0.002,CESIUM CARBONATE,[Cs+].[Cs+].[O-]C([O-])=O,0.2,,,,,,,DMF,,,,UPLC-MS,17,0
zz-19,96,25,30 W blue LED,zz191021,B,3,BOC-L-PROLINE,CC(C)(C)OC(=O)N1CCCC1C(O)=O,0.1,"1-benzyl-2,4,6-triphenylpyridin-1-ium tetrafluoroborate",C1(C[N+]2=C(C3=CC=CC=C3)C=C(C4=CC=CC=C4)C=C2C5=CC=CC=C5)=CC=CC=C1,0.1,tert-butyl 2-benzylpyrrolidine-1-carboxylate,CC(OC(N1CCCC1CC2=CC=CC=C2)=O)(C)C,COPPER(I) BROMIDE,[Cu+].[Br-],0.02,NEOCUPROINE,Cc1ccc2ccc3ccc(C)nc3c2n1,0.03,(IR[DF(CF3)PPY]2(DTBPY))PF6,CC(C)(C1=CC(C2=CC(C(C)(C)C)=CC=N2)=NC=C1)C.F[P-](F)(F)(F)(F)F.FC3=CC(F)=C(C4=NC=C(C=C4)C(F)(F)F)[C-]=C3.FC(F)(F)C5=CC=C(C6=[C-]C=C(F)C=C6F)N=C5.[Ir+3],0.002,CESIUM CARBONATE,[Cs+].[Cs+].[O-]C([O-])=O,0.2,,,,,,,DMF,,,,UPLC-MS,18,7.973609535
zz-19,96,25,30 W blue LED,zz191021,C,3,BOC-L-PROLINE,CC(C)(C)OC(=O)N1CCCC1C(O)=O,0.1,"1-benzyl-2,4,6-triphenylpyridin-1-ium tetrafluoroborate",C1(C[N+]2=C(C3=CC=CC=C3)C=C(C4=CC=CC=C4)C=C2C5=CC=CC=C5)=CC=CC=C1,0.1,tert-butyl 2-benzylpyrrolidine-1-carboxylate,CC(OC(N1CCCC1CC2=CC=CC=C2)=O)(C)C,NICKEL(II) CHLORIDE ETHYLENE GLYCOL DIMETHYL ETHER COMPLEX,COCCOC.Cl[Ni]Cl,0.02,NEOCUPROINE,Cc1ccc2ccc3ccc(C)nc3c2n1,0.03,(IR[DF(CF3)PPY]2(DTBPY))PF6,CC(C)(C1=CC(C2=CC(C(C)(C)C)=CC=N2)=NC=C1)C.F[P-](F)(F)(F)(F)F.FC3=CC(F)=C(C4=NC=C(C=C4)C(F)(F)F)[C-]=C3.FC(F)(F)C5=CC=C(C6=[C-]C=C(F)C=C6F)N=C5.[Ir+3],0.002,CESIUM CARBONATE,[Cs+].[Cs+].[O-]C([O-])=O,0.2,,,,,,,DMF,,,,UPLC-MS,19,6.925747257
zz-19,96,25,30 W blue LED,zz191021,D,3,BOC-L-PROLINE,CC(C)(C)OC(=O)N1CCCC1C(O)=O,0.1,"1-benzyl-2,4,6-triphenylpyridin-1-ium tetrafluoroborate",C1(C[N+]2=C(C3=CC=CC=C3)C=C(C4=CC=CC=C4)C=C2C5=CC=CC=C5)=CC=CC=C1,0.1,tert-butyl 2-benzylpyrrolidine-1-carboxylate,CC(OC(N1CCCC1CC2=CC=CC=C2)=O)(C)C,NICKEL(II) CHLORIDE ETHYLENE GLYCOL DIMETHYL ETHER COMPLEX,COCCOC.Cl[Ni]Cl,0.02,NEOCUPROINE,Cc1ccc2ccc3ccc(C)nc3c2n1,0.03,(IR[DF(CF3)PPY]2(DTBPY))PF6,CC(C)(C1=CC(C2=CC(C(C)(C)C)=CC=N2)=NC=C1)C.F[P-](F)(F)(F)(F)F.FC3=CC(F)=C(C4=NC=C(C=C4)C(F)(F)F)[C-]=C3.FC(F)(F)C5=CC=C(C6=[C-]C=C(F)C=C6F)N=C5.[Ir+3],0.002,CESIUM CARBONATE,[Cs+].[Cs+].[O-]C([O-])=O,0.2,,,,,,,DMF,,,,UPLC-MS,20,8.652762013
zz-19,96,25,30 W blue LED,zz191021,E,3,BOC-L-PROLINE,CC(C)(C)OC(=O)N1CCCC1C(O)=O,0.1,BENZYLTRIETHYLAMMONIUM CHLORIDE,[Cl-].CC[N+](CC)(CC)Cc1ccccc1,0.1,tert-butyl 2-benzylpyrrolidine-1-carboxylate,CC(OC(N1CCCC1CC2=CC=CC=C2)=O)(C)C,NICKEL(II) BROMIDE ETHYLENE GLYCOL DIMETHYL ETHER COMPLEX,COCCOC.[Ni+2].[Br-].[Br-],0.02,NEOCUPROINE,Cc1ccc2ccc3ccc(C)nc3c2n1,0.03,(IR[DF(CF3)PPY]2(DTBPY))PF6,CC(C)(C1=CC(C2=CC(C(C)(C)C)=CC=N2)=NC=C1)C.F[P-](F)(F)(F)(F)F.FC3=CC(F)=C(C4=NC=C(C=C4)C(F)(F)F)[C-]=C3.FC(F)(F)C5=CC=C(C6=[C-]C=C(F)C=C6F)N=C5.[Ir+3],0.002,CESIUM CARBONATE,[Cs+].[Cs+].[O-]C([O-])=O,0.2,,,,,,,DMF,,,,UPLC-MS,21,0
zz-19,96,25,30 W blue LED,zz191021,F,3,BOC-L-PROLINE,CC(C)(C)OC(=O)N1CCCC1C(O)=O,0.1,BENZYLTRIETHYLAMMONIUM CHLORIDE,[Cl-].CC[N+](CC)(CC)Cc1ccccc1,0.1,tert-butyl 2-benzylpyrrolidine-1-carboxylate,CC(OC(N1CCCC1CC2=CC=CC=C2)=O)(C)C,NICKEL(II) BROMIDE ETHYLENE GLYCOL DIMETHYL ETHER COMPLEX,COCCOC.[Ni+2].[Br-].[Br-],0.02,NEOCUPROINE,Cc1ccc2ccc3ccc(C)nc3c2n1,0.03,(IR[DF(CF3)PPY]2(DTBPY))PF6,CC(C)(C1=CC(C2=CC(C(C)(C)C)=CC=N2)=NC=C1)C.F[P-](F)(F)(F)(F)F.FC3=CC(F)=C(C4=NC=C(C=C4)C(F)(F)F)[C-]=C3.FC(F)(F)C5=CC=C(C6=[C-]C=C(F)C=C6F)N=C5.[Ir+3],0.002,CESIUM CARBONATE,[Cs+].[Cs+].[O-]C([O-])=O,0.2,,,,,,,DMF,,,,UPLC-MS,22,0
zz-19,96,25,30 W blue LED,zz191021,G,3,BOC-L-PROLINE,CC(C)(C)OC(=O)N1CCCC1C(O)=O,0.1,BENZYLTRIETHYLAMMONIUM CHLORIDE,[Cl-].CC[N+](CC)(CC)Cc1ccccc1,0.1,tert-butyl 2-benzylpyrrolidine-1-carboxylate,CC(OC(N1CCCC1CC2=CC=CC=C2)=O)(C)C,"BIS(1,5-CYCLOOCTADIENE)NICKEL(0)",[Ni].C\1C\C=C/CC\C=C1.C\2C\C=C/CC\C=C2,0.02,NEOCUPROINE,Cc1ccc2ccc3ccc(C)nc3c2n1,0.03,(IR[DF(CF3)PPY]2(DTBPY))PF6,CC(C)(C1=CC(C2=CC(C(C)(C)C)=CC=N2)=NC=C1)C.F[P-](F)(F)(F)(F)F.FC3=CC(F)=C(C4=NC=C(C=C4)C(F)(F)F)[C-]=C3.FC(F)(F)C5=CC=C(C6=[C-]C=C(F)C=C6F)N=C5.[Ir+3],0.002,CESIUM CARBONATE,[Cs+].[Cs+].[O-]C([O-])=O,0.2,,,,,,,DMF,,,,UPLC-MS,23,0
zz-19,96,25,30 W blue LED,zz191021,H,3,BOC-L-PROLINE,CC(C)(C)OC(=O)N1CCCC1C(O)=O,0.1,BENZYLTRIETHYLAMMONIUM CHLORIDE,[Cl-].CC[N+](CC)(CC)Cc1ccccc1,0.1,tert-butyl 2-benzylpyrrolidine-1-carboxylate,CC(OC(N1CCCC1CC2=CC=CC=C2)=O)(C)C,"BIS(1,5-CYCLOOCTADIENE)NICKEL(0)",[Ni].C\1C\C=C/CC\C=C1.C\2C\C=C/CC\C=C2,0.02,NEOCUPROINE,Cc1ccc2ccc3ccc(C)nc3c2n1,0.03,(IR[DF(CF3)PPY]2(DTBPY))PF6,CC(C)(C1=CC(C2=CC(C(C)(C)C)=CC=N2)=NC=C1)C.F[P-](F)(F)(F)(F)F.FC3=CC(F)=C(C4=NC=C(C=C4)C(F)(F)F)[C-]=C3.FC(F)(F)C5=CC=C(C6=[C-]C=C(F)C=C6F)N=C5.[Ir+3],0.002,CESIUM CARBONATE,[Cs+].[Cs+].[O-]C([O-])=O,0.2,,,,,,,DMF,,,,UPLC-MS,24,0
zz-19,96,25,30 W blue LED,zz191021,A,4,BOC-L-PROLINE,CC(C)(C)OC(=O)N1CCCC1C(O)=O,0.1,"1-benzyl-2,4,6-triphenylpyridin-1-ium tetrafluoroborate",C1(C[N+]2=C(C3=CC=CC=C3)C=C(C4=CC=CC=C4)C=C2C5=CC=CC=C5)=CC=CC=C1,0.1,tert-butyl 2-benzylpyrrolidine-1-carboxylate,CC(OC(N1CCCC1CC2=CC=CC=C2)=O)(C)C,COPPER(I) BROMIDE,[Cu+].[Br-],0.02,NEOCUPROINE,Cc1ccc2ccc3ccc(C)nc3c2n1,0.03,,,,CESIUM CARBONATE,[Cs+].[Cs+].[O-]C([O-])=O,0.2,,,,,,,DMF,,,,UPLC-MS,25,0
